Pi_M,Pi_omega,Pi_geom,Pi_bar,Pi_eta,Pi_rho,Pi_M_aci,Pi_R
0.09166666666666666,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.8004259633672725
0.08266666666666667,0.12677076,1.5,0.06666666666666667,0.0375,0.01047,0.10934712092152797,0.7560022245669522
0.08266666666666667,0.12677076,1.5,0.06666666666666667,0.0375,0.01047,0.10934712092152797,0.7560022245669522
0.08266666666666667,0.12677076,1.5,0.06666666666666667,0.0375,0.01047,0.10934712092152797,0.7560022245669522
0.07477777777777778,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.7170065132647906
0.07477777777777778,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.7170065132647906
0.07477777777777778,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.7170065132647906
0.05366666666666667,0.1174289025,1.5,0.06666666666666667,0.075,0.01047,0.09455344110851083,0.5675802597715938
0.05366666666666667,0.1174289025,1.5,0.06666666666666667,0.075,0.01047,0.09455344110851083,0.5675802597715938
0.05366666666666667,0.1174289025,1.5,0.06666666666666667,0.075,0.01047,0.09455344110851083,0.5675802597715938
0.04011111111111111,0.11120187,1.5,0.06666666666666667,0.1,0.01047,0.08531621593100741,0.47014639214129855
0.04011111111111111,0.11120187,1.5,0.06666666666666667,0.1,0.01047,0.08531621593100741,0.47014639214129855
0.04011111111111111,0.11120187,1.5,0.06666666666666667,0.1,0.01047,0.08531621593100741,0.47014639214129855
0.09677777777777778,0.1329977925,1.5,0.06666666666666667,0.0125,0.01047,0.1198199905517249,0.8076930847027561
0.09677777777777778,0.1329977925,1.5,0.06666666666666667,0.0125,0.01047,0.1198199905517249,0.8076930847027561
0.09677777777777778,0.1329977925,1.5,0.06666666666666667,0.0125,0.01047,0.1198199905517249,0.8076930847027561
0.087,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.7596770052322114
0.087,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.7596770052322114
0.087,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.7596770052322114
0.07833333333333334,0.12677076,1.5,0.06666666666666667,0.0375,0.01047,0.10934712092152797,0.7163730756985233
0.07833333333333334,0.12677076,1.5,0.06666666666666667,0.0375,0.01047,0.10934712092152797,0.7163730756985233
0.07833333333333334,0.12677076,1.5,0.06666666666666667,0.0375,0.01047,0.10934712092152797,0.7163730756985233
0.06522222222222222,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.6253830955221874
0.06522222222222222,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.6253830955221874
